"Currency Manager","Gestionnaire d'affichage des devises"
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Le support de l'extension est disponible via <a href=""%s"" target=""_blank"">le système de suivi des problèmes</a>.<br>Vous pouvez voir les informations gratuitement, mais vous devrez vous inscrire pour ouvrir un ticket.<br><br>Veuillez signaler tous les bugs et les demandes de fonctionnalités qui sont liées à cette extension.<br><br>Si, pour une raison quelconque, vous ne pouvez pas soumettre une question, un bug ou une demande de fonctionnalité à notre système de suivi par ticket, vous pouvez nous écrire un email - support@etwebsolutions.com."
"In Magento by default when customer switches to another currency, he stays on the same page, but all parameters are omitted.<br><br><b>before switch:</b><br>site.com/category.html?color=24&price=100-200<br><b>after switch:</b><br>site.com/category.html<br><br>This setting allows to return customer to the same address, where he was before switching currency.","Dans Magento, par défaut, quand le client change de devise, il reste sur la même page, mais tous les paramètres sont perdus.<br><br><b>avant le changement:</b><br>site.com/category.html?color=24&price=100-200<br><b>après changement :</b><br>site.com/category.html<br><br>Ce paramètre permet d'imposer que le client revienne à l'adresse où il était avant de changer de devise."

"Change group symbol for JavaScript","Changer le symbole de groupe (séparateur des milliers) pour JavaScript"
"Examples:<br> for "" "": 9999.00 => 9 999.00<br> for "","": 9999.00 => 9,999.00","Exemples:<br> pour "" "": 9999.00 => 9 999.00<br> pour "","": 9999.00 => 9,999.00"
"Group symbol","Séparateur des milliers"
"Examples:<br> for empty: 9999.00 => 9999.00<br> for space: 9999.00 => 9 999.00<br> for "","": 9999.00 => 9,999.00","Exemples :<br> pour vide : 9999.00 => 9999.00<br> pour espace: 9999.00 => 9 999.00<br> pour "","": 9999.00 => 9,999.00"
"Change group length for JavaScript to 3","Imposer 3 pour la longueur de groupe JavaScript (nombre de chiffres entre séparateurs)"
"In products with options some currency/locale combinations make unexpected prices output.<br>Examples:<br> without fix 99999.99 => 9.99.99,99<br> with fix 99999.99 => 99.999,99","Pour les produits avec options certaines combinaisons de devises et choix locaux de séparateurs produisent des affichages de prix non voulus.<br>Exemples :<br> sans correction 99999.99 => 9.99.99,99<br> avec correction 99999.99 => 99.999,99"
"",""
"",""
